benchmarks,numinst,ptrreg,dupptr,objalloc,objfree,logflow
bzip2,30,766K,50.5,28,85.7,0
gcc,28494,609915K,81.7,1845K,99.0,8829K
milc,100,2329921K,29.7,66K,99.2,82320K
gobmk,333,1837036K,1.3,133K,99.9,5931K
hmmer,487,2403K,22.1,1394K,100.0,8K
sjeng,14,271153K,0.0,5,20.0,0
libquantum,19,130,49.2,149,100.0,0
h264ref,426,783K,15.0,38K,99.9,44K
lbm,14,6K,99.9,4,100.0,0
sphinx3,433,312775K,36.6,14225K,98.5,16242K
perlbench,8177,21572911K,92.9,53673K,96.8,113978K
namd,60,61K,46.6,1K,99.8,0
dealII,6426,78545K,40.4,151258K,100.00,306K
omnetpp,6907,16653803K,10.8,267169K,99.9,226082K
astar,97,675195K,6.5,3683K,100.0,18641K
xalancbmk,27839,2917543K,36.5,135156K,100.0,32602K
