Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10569, 800, 9769, 143
16, 10453, 808, 9645, 125
16, 10494, 809, 9685, 113
16, 10598, 812, 9786, 115
16, 10617, 812, 9805, 172
16, 10546, 814, 9732, 135
16, 10588, 824, 9764, 133
16, 10606, 833, 9773, 126
16, 10526, 837, 9689, 126
16, 10591, 839, 9752, 159
16, 10271, 841, 9430, 72
16, 10598, 844, 9754, 168
16, 10375, 847, 9528, 166
16, 10532, 847, 9685, 171
16, 10553, 847, 9706, 130
16, 10557, 848, 9709, 140
16, 10449, 851, 9598, 145
16, 10557, 851, 9706, 182
16, 10387, 852, 9535, 148
16, 10620, 852, 9768, 176
16, 10512, 853, 9659, 159
16, 10402, 854, 9548, 164
16, 10498, 854, 9644, 158
16, 10607, 854, 9753, 126
16, 10473, 855, 9618, 161
16, 10581, 855, 9726, 154
16, 10637, 855, 9782, 151
16, 10562, 856, 9706, 175
16, 10330, 859, 9471, 134
16, 10583, 859, 9724, 197
16, 10399, 861, 9538, 156
16, 10458, 861, 9597, 147
16, 10480, 861, 9619, 166
16, 10645, 861, 9784, 206
16, 10362, 862, 9500, 188
16, 10385, 862, 9523, 102
16, 10583, 862, 9721, 88
16, 10536, 863, 9673, 176
16, 10445, 864, 9581, 138
16, 10588, 864, 9724, 145
16, 10373, 865, 9508, 140
16, 10589, 865, 9724, 158
16, 10437, 866, 9571, 178
16, 10517, 866, 9651, 200
16, 10357, 867, 9490, 138
16, 10557, 867, 9690, 190
16, 10591, 867, 9724, 133
16, 10219, 869, 9350, 117
16, 10625, 869, 9756, 158
16, 10381, 870, 9511, 177
16, 10445, 870, 9575, 153
16, 10482, 870, 9612, 144
16, 10643, 870, 9773, 224
16, 10284, 871, 9413, 97
16, 10429, 871, 9558, 176
16, 10636, 871, 9765, 175
16, 10352, 873, 9479, 149
16, 10647, 874, 9773, 112
16, 10426, 875, 9551, 201
16, 10550, 875, 9675, 162
16, 10386, 876, 9510, 129
16, 10317, 877, 9440, 56
16, 10519, 877, 9642, 174
16, 10537, 878, 9659, 134
16, 10189, 879, 9310, 134
16, 10202, 879, 9323, 157
16, 10353, 879, 9474, 193
16, 10488, 879, 9609, 120
16, 10508, 879, 9629, 163
16, 10152, 881, 9271, 139
16, 10206, 882, 9324, 123
16, 10303, 883, 9420, 135
16, 10522, 883, 9639, 126
16, 10569, 883, 9686, 145
16, 10286, 884, 9402, 60
16, 10393, 884, 9509, 159
16, 10695, 884, 9811, 128
16, 10228, 885, 9343, 156
16, 10143, 886, 9257, 118
16, 10412, 886, 9526, 157
16, 10415, 886, 9529, 148
16, 10614, 886, 9728, 224
16, 10622, 886, 9736, 184
16, 10312, 887, 9425, 173
16, 10379, 887, 9492, 174
16, 10466, 887, 9579, 152
16, 10526, 887, 9639, 143
16, 10251, 888, 9363, 158
16, 10489, 888, 9601, 204
16, 10511, 888, 9623, 182
16, 10556, 888, 9668, 115
16, 10281, 889, 9392, 128
16, 10285, 890, 9395, 88
16, 10708, 890, 9818, 145
16, 10593, 891, 9702, 131
16, 10576, 892, 9684, 132
16, 10174, 893, 9281, 148
16, 10206, 893, 9313, 179
16, 10407, 893, 9514, 171
16, 10412, 893, 9519, 146
16, 10303, 894, 9409, 78
16, 10380, 894, 9486, 203
16, 10456, 894, 9562, 120
16, 10459, 894, 9565, 164
16, 10232, 895, 9337, 86
16, 10314, 895, 9419, 153
