Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
8, 11459, 8, 11451, 0
8, 11456, 12, 11444, 1638
8, 11461, 13, 11448, 0
16, 11459, 11, 11448, 3260
16, 13639, 11, 13628, 1
16, 11265, 12, 11253, 6639
16, 11459, 12, 11447, 11454
16, 11459, 12, 11447, 11454
16, 11459, 12, 11447, 3261
16, 8186, 12, 8174, 4911
16, 11460, 13, 11447, 3274
16, 11460, 13, 11447, 9964
16, 11464, 13, 11451, 6542
16, 11466, 13, 11453, 6540
16, 9822, 16, 9806, 8179
16, 8726, 19, 8707, 1338
16, 10440, 20, 10420, 5509
16, 10483, 20, 10463, 1163
16, 8726, 20, 8706, 2
16, 9031, 20, 9011, 1323
16, 10035, 21, 10014, 9725
16, 8799, 21, 8778, 613
16, 10185, 22, 10163, 7875
16, 10879, 22, 10857, 10560
16, 11645, 22, 11623, 10074
16, 9841, 23, 9818, 3723
16, 11304, 24, 11280, 4310
16, 14043, 24, 14019, 5611
16, 10370, 27, 10343, 4942
16, 10709, 28, 10681, 6222
16, 15989, 197, 15792, 2140
16, 11401, 200, 11201, 10111
16, 8228, 709, 7519, 141
16, 11360, 799, 10561, 0
16, 11449, 922, 10527, 1639
16, 8920, 956, 7964, 0
16, 8839, 965, 7874, 0
16, 8938, 966, 7972, 0
16, 8861, 1014, 7847, 0
16, 8867, 1021, 7846, 0
16, 8840, 1064, 7776, 48
16, 8773, 1096, 7677, 0
16, 8816, 1144, 7672, 0
16, 8857, 1239, 7618, 0
16, 8843, 1241, 7602, 0
16, 11262, 1364, 9898, 0
16, 11213, 1416, 9797, 2
16, 8445, 2563, 5882, 132
16, 8495, 2568, 5927, 46
16, 8511, 2571, 5940, 65
16, 8492, 2574, 5918, 57
32, 11455, 12, 11443, 1635
32, 12054, 57, 11997, 0
128, 12798, 27, 12771, 0
128, 15726, 74, 15652, 2477
128, 17471, 130, 17341, 1867
128, 9922, 755, 9167, 1025
128, 10054, 937, 9117, 31
128, 9577, 982, 8595, 25
128, 10204, 1097, 9107, 19
128, 9990, 1111, 8879, 930
128, 9584, 1170, 8414, 95
128, 9892, 1220, 8672, 10
128, 10419, 1234, 9185, 1171
128, 9603, 1259, 8344, 78
128, 10216, 1280, 8936, 1051
128, 9892, 1282, 8610, 1227
128, 9841, 1299, 8542, 1267
128, 10830, 1300, 9530, 12
128, 9446, 1314, 8132, 843
128, 10576, 1343, 9233, 25
128, 9289, 1377, 7912, 1329
128, 9447, 1402, 8045, 811
128, 10122, 1413, 8709, 57
128, 10256, 1431, 8825, 17
128, 9984, 1441, 8543, 80
128, 9941, 1446, 8495, 45
128, 10384, 1447, 8937, 1201
128, 9330, 1472, 7858, 79
128, 10406, 1484, 8922, 22
