Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
16, 10788, 19, 10769, 10787
16, 18271, 89, 18182, 5991
16, 18356, 91, 18265, 2778
16, 18307, 93, 18214, 3615
16, 9550, 2982, 6568, 42
16, 8185, 3278, 4907, 4911
16, 8185, 3278, 4907, 8185
16, 8186, 3279, 4907, 8186
16, 8186, 3280, 4906, 8186
16, 8187, 3282, 4905, 6551
16, 8187, 3299, 4888, 5134
16, 8196, 3353, 4843, 5043
16, 8240, 3364, 4876, 5046
16, 8240, 3364, 4876, 5063
16, 8409, 3441, 4968, 6418
16, 8262, 3672, 4590, 5016
16, 8189, 4252, 3937, 5801
16, 8348, 4669, 3679, 5760
16, 8348, 4671, 3677, 5779
16, 8348, 4671, 3677, 5779
16, 8367, 4712, 3655, 5007
16, 14265, 7537, 6728, 10614
32, 12279, 5494, 6785, 4075
64, 10459, 125, 10334, 1211
64, 10463, 125, 10338, 406
64, 10462, 127, 10335, 413
64, 10462, 127, 10335, 413
64, 10469, 127, 10342, 1215
64, 10463, 143, 10320, 1215
64, 10701, 186, 10515, 341
64, 10455, 193, 10262, 1602
64, 10455, 193, 10262, 1602
64, 10455, 193, 10262, 1602
64, 10455, 193, 10262, 1602
64, 10455, 193, 10262, 1602
64, 10455, 193, 10262, 1602
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10456, 193, 10263, 570
64, 10458, 193, 10265, 1355
64, 10458, 193, 10265, 1357
64, 10458, 193, 10265, 1357
64, 10458, 193, 10265, 1357
64, 10458, 193, 10265, 1357
64, 10458, 193, 10265, 1357
64, 10458, 193, 10265, 1357
64, 10458, 193, 10265, 321
64, 10458, 193, 10265, 321
64, 10459, 193, 10266, 167
64, 10459, 193, 10266, 811
64, 10459, 193, 10266, 811
64, 10459, 193, 10266, 811
64, 10460, 193, 10267, 405
64, 10460, 193, 10267, 405
64, 10460, 193, 10267, 405
64, 10460, 193, 10267, 406
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 407
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 806
64, 10460, 193, 10267, 808
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10461, 193, 10268, 567
64, 10462, 193, 10269, 1124
64, 10463, 193, 10270, 1204
64, 10463, 193, 10270, 1204
64, 10463, 193, 10270, 966
64, 10463, 193, 10270, 966
64, 10463, 193, 10270, 966
64, 10463, 193, 10270, 966
64, 10463, 193, 10270, 969
64, 10464, 193, 10271, 1126
64, 10465, 193, 10272, 1124
64, 10465, 193, 10272, 321
64, 10466, 193, 10273, 1204
64, 10466, 193, 10273, 733
64, 10466, 193, 10273, 733
64, 10466, 193, 10273, 733
64, 10466, 193, 10273, 733
64, 10467, 193, 10274, 892
64, 10467, 193, 10274, 892
64, 10469, 193, 10276, 239
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
