Benchmark, Baseline-vsz, Baseline-pss, Baseline-rss, DangSan-vsz, DangSan-pss, DangSan-rss
401.bzip2,888.017,853.073,854.096,525305,868.631,869.686
403.gcc,276.585,113.719,114.789,525054,368.555,369.632
433.milc,711.922,645.31,646.45,525343,830.209,831.356
445.gobmk,67.9531,32.7517,33.8811,524934,254.601,255.739
456.hmmer,87.1311,33.5053,34.629,524527,63.1927,64.3254
458.sjeng,213.915,177.662,178.754,524633,200.718,201.817
462.libquantum,135.37,69.5389,70.5886,524549,84.8018,85.8584
464.h264ref,67.747,32.3438,33.4872,524511,74.6748,75.8477
470.lbm,447.902,411.456,412.53,524864,426.093,427.197
482.sphinx3,80.435,42.7101,43.8805,525305,752.057,753.233
400.perlbench,221.044,186.012,187.147,529518,4356.09,4357.24
444.namd,85.36,48.8102,49.9758,524505,69.4824,70.6371
447.dealII,645.963,195.542,196.652,536376,4222.11,4223.25
471.omnetpp,188.89,155.208,156.41,534009,7804.36,7805.6
473.astar,374.05,86.6795,87.7487,525830,1097.94,1099.02
483.xalancbmk,396.877,314.678,315.804,529446,4179.32,4180.46
