Benchmark,baseline-iter1,metaalloc-var-8b-iter1,baseline-iter1-degradation,metaalloc-var-8b-iter1-degradation
401.bzip2,436.44,441.76
401.bzip2,433.98,441.49
401.bzip2,435.72,443.06
401.bzip2,436.97,441.46
Total:401.bzip2,1743.11,1767.77,1.0,1.014

403.gcc,304.71,459.94
403.gcc,313.28,459.85
403.gcc,296.99,458.98
403.gcc,358.52,473.27
Total:403.gcc,1273.5,1852.04,1.0,1.454

433.milc,460.65,553.51
433.milc,543.88,537.35
433.milc,460.52,537.81
433.milc,761.42,688.36
Total:433.milc,2226.47,2317.03,1.0,1.041

445.gobmk,454.95,484.31
445.gobmk,455.34,484.44
445.gobmk,442.18,484.54
445.gobmk,444.69,488.76
Total:445.gobmk,1797.16,1942.05,1.0,1.081

456.hmmer,381.91,385.83
456.hmmer,383.47,384.95
456.hmmer,382.10,385.64
456.hmmer,382.81,385.18
Total:456.hmmer,1530.29,1541.6,1.0,1.007

458.sjeng,406.77,418.51
458.sjeng,407.19,439.35
458.sjeng,412.75,431.00
458.sjeng,407.85,417.57
Total:458.sjeng,1634.56,1706.43,1.0,1.044

462.libquantum,372.11,491.87
462.libquantum,370.13,489.13
462.libquantum,370.38,430.60
462.libquantum,659.07,501.72
Total:462.libquantum,1771.69,1913.32,1.0,1.08

464.h264ref,2076.05,1488.23
464.h264ref,945.15,1516.29
464.h264ref,987.39,1588.40
464.h264ref,981.89,1543.74
Total:464.h264ref,4990.48,6136.66,1.0,1.23

470.lbm,335.94,386.94
470.lbm,336.53,383.56
470.lbm,337.97,432.22
470.lbm,336.22,341.75
Total:470.lbm,1346.66,1544.47,1.0,1.147

482.sphinx3,512.97,788.32
482.sphinx3,513.28,463.10
482.sphinx3,1382.42,639.65
482.sphinx3,628.48,464.72
Total:482.sphinx3,3037.15,2355.79,1.0,0.776

400.perlbench,269.44,991.97
400.perlbench,271.61,983.91
400.perlbench,270.44,980.03
400.perlbench,271.98,983.19
Total:400.perlbench,1083.47,3939.1,1.0,3.636

444.namd,331.57,327.80
444.namd,331.75,329.55
444.namd,331.66,329.38
444.namd,331.74,328.55
Total:444.namd,1326.72,1315.28,1.0,0.991

447.dealII,241.77,436.97
447.dealII,242.94,403.05
447.dealII,266.63,443.79
447.dealII,242.72,432.25
Total:447.dealII,994.06,1716.06,1.0,1.726

471.omnetpp,221.71,1552.70
471.omnetpp,224.44,1671.49
471.omnetpp,255.92,1464.81
471.omnetpp,223.92,1490.04
Total:471.omnetpp,925.99,6179.04,1.0,6.673

473.astar,346.00,775.22
473.astar,327.92,695.51
473.astar,336.30,706.60
473.astar,329.44,671.53
Total:473.astar,1339.66,2848.86,1.0,2.127

483.xalancbmk,122.21,252.83
483.xalancbmk,124.30,248.58
483.xalancbmk,122.56,248.35
483.xalancbmk,125.87,247.69
Total:483.xalancbmk,494.94,997.45,1.0,2.015

