Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
16, 12119, 558, 11561
16, 11997, 561, 11436
16, 11978, 563, 11415
16, 11998, 564, 11434
16, 12130, 567, 11563
16, 12005, 569, 11436
16, 12050, 571, 11479
16, 12045, 572, 11473
16, 11982, 573, 11409
16, 12004, 577, 11427
16, 12111, 577, 11534
16, 12001, 581, 11420
16, 12039, 584, 11455
16, 12152, 584, 11568
16, 11905, 585, 11320
16, 11999, 590, 11409
16, 12113, 592, 11521
16, 12213, 602, 11611
16, 11796, 604, 11192
16, 11731, 606, 11125
16, 11874, 606, 11268
16, 11770, 607, 11163
16, 12046, 608, 11438
16, 11896, 620, 11276
16, 12023, 620, 11403
16, 11889, 635, 11254
16, 11893, 635, 11258
16, 12044, 635, 11409
16, 11664, 640, 11024
16, 11941, 645, 11296
16, 11635, 646, 10989
16, 11834, 647, 11187
16, 11932, 660, 11272
16, 11868, 665, 11203
16, 11960, 674, 11286
16, 12034, 678, 11356
16, 11933, 688, 11245
16, 11911, 702, 11209
16, 11829, 704, 11125
16, 11870, 706, 11164
16, 11963, 716, 11247
16, 11940, 717, 11223
16, 11736, 722, 11014
16, 11919, 736, 11183
16, 11981, 749, 11232
16, 12005, 752, 11253
16, 12022, 759, 11263
16, 11883, 766, 11117
16, 11956, 766, 11190
16, 11923, 768, 11155
16, 12025, 774, 11251
16, 11608, 775, 10833
16, 11932, 780, 11152
16, 11697, 782, 10915
16, 11790, 787, 11003
16, 11822, 789, 11033
16, 11871, 790, 11081
16, 11757, 791, 10966
16, 12079, 793, 11286
16, 12034, 796, 11238
16, 11759, 799, 10960
16, 11837, 799, 11038
16, 11783, 803, 10980
16, 11851, 809, 11042
16, 11765, 814, 10951
16, 11902, 816, 11086
16, 11791, 820, 10971
16, 11773, 823, 10950
16, 11872, 826, 11046
16, 11836, 834, 11002
16, 11965, 845, 11120
16, 11758, 857, 10901
16, 11836, 866, 10970
512, 20945, 2876, 18069
512, 18574, 4783, 13791
512, 10288, 5340, 4948
512, 15140, 5512, 9628
512, 13009, 5689, 7320
512, 12232, 5735, 6497
512, 13215, 5938, 7277
512, 15829, 6195, 9634
512, 12986, 6233, 6753
512, 9689, 6333, 3356
512, 14168, 6439, 7729
512, 21540, 7384, 14156
512, 20473, 7641, 12832
512, 21653, 7740, 13913
512, 20389, 7964, 12425
512, 21048, 8065, 12983
512, 20983, 8173, 12810
512, 9202, 8811, 391
512, 20549, 9031, 11518
512, 20171, 9226, 10945
512, 21671, 9411, 12260
512, 19611, 9513, 10098
512, 20393, 9520, 10873
512, 21837, 9521, 12316
512, 21976, 9547, 12429
512, 15924, 9568, 6356
512, 21439, 9583, 11856
512, 21430, 10319, 11111
512, 19767, 10779, 8988
512, 19875, 11179, 8696
8192, 13044, 6499, 6545
8192, 12372, 6621, 5751
8192, 12435, 6888, 5547
8192, 12064, 6911, 5153
8192, 13246, 7182, 6064
8192, 10899, 7546, 3353
8192, 12656, 7633, 5023
8192, 13498, 7711, 5787
8192, 11019, 7784, 3235
8192, 12269, 7899, 4370
8192, 15425, 8113, 7312
8192, 14202, 8250, 5952
8192, 12173, 8297, 3876
8192, 16013, 8379, 7634
8192, 15766, 8384, 7382
8192, 15052, 8385, 6667
8192, 15218, 8388, 6830
8192, 13720, 8503, 5217
8192, 14626, 8510, 6116
8192, 14844, 8519, 6325
8192, 15833, 8528, 7305
8192, 15473, 8571, 6902
8192, 15235, 8572, 6663
8192, 15523, 8620, 6903
8192, 15407, 8650, 6757
8192, 12824, 8658, 4166
8192, 15409, 8679, 6730
8192, 14245, 8697, 5548
8192, 15341, 8700, 6641
8192, 15811, 8705, 7106
8192, 15415, 8715, 6700
8192, 15558, 8728, 6830
8192, 14907, 8748, 6159
8192, 14613, 8751, 5862
8192, 15577, 8754, 6823
8192, 15188, 8768, 6420
8192, 15319, 8780, 6539
8192, 15811, 8780, 7031
8192, 15150, 8784, 6366
8192, 15475, 8797, 6678
8192, 15544, 8797, 6747
8192, 15768, 8799, 6969
8192, 15025, 8824, 6201
8192, 15482, 8837, 6645
8192, 15680, 8873, 6807
8192, 15271, 8874, 6397
8192, 15613, 8882, 6731
8192, 13464, 8890, 4574
8192, 14661, 8893, 5768
8192, 15826, 8899, 6927
8192, 14833, 8902, 5931
8192, 11379, 8914, 2465
8192, 15992, 8923, 7069
8192, 15532, 8924, 6608
8192, 14729, 8929, 5800
8192, 15539, 8936, 6603
8192, 15804, 8945, 6859
8192, 15458, 8947, 6511
8192, 10758, 8949, 1809
8192, 15752, 8955, 6797
8192, 15542, 8961, 6581
8192, 15200, 8964, 6236
8192, 15662, 8971, 6691
8192, 15515, 8979, 6536
8192, 15709, 8983, 6726
8192, 15794, 8986, 6808
8192, 14496, 8987, 5509
8192, 15773, 8989, 6784
8192, 14133, 8990, 5143
8192, 15614, 9003, 6611
8192, 14708, 9008, 5700
8192, 15927, 9019, 6908
8192, 15207, 9026, 6181
8192, 15391, 9039, 6352
8192, 15083, 9050, 6033
8192, 15682, 9055, 6627
8192, 15253, 9061, 6192
8192, 15320, 9062, 6258
8192, 15127, 9071, 6056
8192, 15661, 9071, 6590
8192, 16010, 9074, 6936
8192, 16005, 9092, 6913
8192, 15745, 9093, 6652
8192, 15228, 9101, 6127
8192, 14891, 9105, 5786
8192, 15653, 9106, 6547
8192, 15231, 9116, 6115
8192, 15122, 9121, 6001
8192, 15753, 9123, 6630
8192, 15598, 9124, 6474
8192, 15411, 9133, 6278
8192, 15368, 9148, 6220
8192, 15279, 9149, 6130
8192, 15776, 9158, 6618
8192, 15479, 9162, 6317
8192, 14765, 9171, 5594
8192, 15918, 9173, 6745
8192, 15166, 9179, 5987
8192, 14859, 9181, 5678
8192, 15711, 9188, 6523
8192, 16188, 9202, 6986
8192, 15305, 9216, 6089
8192, 15543, 9218, 6325
8192, 15865, 9227, 6638
8192, 15853, 9232, 6621
8192, 14744, 9233, 5511
8192, 14548, 9234, 5314
8192, 15184, 9239, 5945
8192, 15687, 9245, 6442
8192, 15706, 9255, 6451
8192, 14693, 9261, 5432
8192, 14507, 9262, 5245
8192, 15264, 9263, 6001
8192, 15437, 9273, 6164
8192, 15277, 9274, 6003
8192, 15409, 9279, 6130
8192, 14886, 9286, 5600
8192, 15084, 9294, 5790
8192, 14818, 9300, 5518
8192, 14982, 9300, 5682
8192, 15157, 9300, 5857
8192, 15810, 9309, 6501
8192, 14661, 9320, 5341
8192, 15603, 9320, 6283
8192, 15382, 9327, 6055
8192, 15335, 9329, 6006
8192, 15132, 9339, 5793
8192, 16432, 9347, 7085
8192, 15778, 9349, 6429
8192, 14788, 9360, 5428
8192, 15479, 9367, 6112
8192, 15479, 9367, 6112
8192, 15325, 9370, 5955
8192, 16282, 9373, 6909
8192, 15944, 9374, 6570
8192, 12683, 9380, 3303
8192, 15805, 9384, 6421
8192, 15846, 9388, 6458
8192, 15751, 9391, 6360
8192, 15503, 9392, 6111
8192, 15507, 9393, 6114
8192, 14247, 9395, 4852
8192, 14948, 9401, 5547
8192, 16059, 9402, 6657
8192, 15606, 9404, 6202
8192, 15804, 9406, 6398
8192, 15575, 9409, 6166
8192, 15366, 9410, 5956
8192, 12622, 9412, 3210
8192, 15283, 9420, 5863
8192, 16120, 9423, 6697
8192, 15881, 9425, 6456
8192, 15639, 9427, 6212
8192, 15116, 9429, 5687
8192, 15557, 9431, 6126
8192, 15749, 9433, 6316
8192, 15415, 9436, 5979
8192, 15841, 9437, 6404
8192, 15301, 9448, 5853
8192, 14713, 9450, 5263
8192, 15722, 9459, 6263
8192, 15877, 9459, 6418
8192, 16073, 9462, 6611
8192, 14763, 9473, 5290
8192, 15634, 9473, 6161
8192, 15632, 9476, 6156
8192, 15233, 9477, 5756
8192, 15634, 9477, 6157
8192, 16458, 9482, 6976
8192, 15507, 9486, 6021
8192, 9581, 9488, 93
8192, 15507, 9490, 6017
8192, 15457, 9498, 5959
8192, 15805, 9499, 6306
8192, 15669, 9509, 6160
8192, 15146, 9516, 5630
8192, 15228, 9520, 5708
8192, 14912, 9521, 5391
8192, 15740, 9524, 6216
8192, 15791, 9531, 6260
8192, 15794, 9531, 6263
8192, 15576, 9534, 6042
8192, 16055, 9536, 6519
8192, 15963, 9538, 6425
8192, 14825, 9539, 5286
8192, 16401, 9542, 6859
8192, 15569, 9543, 6026
8192, 15444, 9547, 5897
8192, 15807, 9548, 6259
8192, 15916, 9549, 6367
8192, 14604, 9551, 5053
8192, 15181, 9551, 5630
8192, 15125, 9559, 5566
8192, 15945, 9566, 6379
8192, 15433, 9571, 5862
8192, 15087, 9572, 5515
8192, 15475, 9579, 5896
8192, 14866, 9581, 5285
8192, 15492, 9585, 5907
8192, 15583, 9587, 5996
8192, 15975, 9587, 6388
8192, 15300, 9589, 5711
8192, 15531, 9593, 5938
8192, 15769, 9599, 6170
8192, 16180, 9608, 6572
8192, 16066, 9622, 6444
8192, 15352, 9623, 5729
8192, 15076, 9627, 5449
8192, 15133, 9645, 5488
8192, 15983, 9647, 6336
8192, 15564, 9649, 5915
8192, 15427, 9652, 5775
8192, 16046, 9652, 6394
8192, 16216, 9653, 6563
8192, 16039, 9656, 6383
8192, 15607, 9658, 5949
8192, 15881, 9663, 6218
8192, 16325, 9666, 6659
8192, 16116, 9670, 6446
8192, 15825, 9672, 6153
8192, 15689, 9680, 6009
8192, 15772, 9681, 6091
8192, 15685, 9682, 6003
8192, 15727, 9682, 6045
8192, 14701, 9683, 5018
8192, 13541, 9687, 3854
8192, 15045, 9689, 5356
8192, 13111, 9697, 3414
8192, 15688, 9705, 5983
8192, 15263, 9709, 5554
8192, 15760, 9709, 6051
8192, 15333, 9713, 5620
8192, 15143, 9727, 5416
8192, 16324, 9728, 6596
8192, 14683, 9731, 4952
8192, 16138, 9731, 6407
8192, 15438, 9732, 5706
8192, 15927, 9737, 6190
8192, 15854, 9741, 6113
8192, 15047, 9746, 5301
8192, 16158, 9746, 6412
8192, 15710, 9749, 5961
8192, 16111, 9757, 6354
8192, 15857, 9761, 6096
8192, 15582, 9765, 5817
8192, 15873, 9767, 6106
8192, 14892, 9768, 5124
8192, 15680, 9773, 5907
8192, 15823, 9778, 6045
8192, 15537, 9793, 5744
8192, 15859, 9798, 6061
8192, 15960, 9802, 6158
8192, 16015, 9807, 6208
8192, 15631, 9813, 5818
8192, 15144, 9820, 5324
8192, 15815, 9820, 5995
8192, 15188, 9823, 5365
8192, 15583, 9829, 5754
8192, 16143, 9833, 6310
8192, 15304, 9848, 5456
8192, 16029, 9857, 6172
8192, 16203, 9878, 6325
8192, 15497, 9893, 5604
8192, 15540, 9893, 5647
8192, 15413, 9901, 5512
8192, 15479, 9925, 5554
8192, 15982, 9939, 6043
8192, 15548, 9987, 5561
8192, 14968, 9990, 4978
8192, 15468, 9991, 5477
8192, 16059, 10012, 6047
8192, 14992, 10050, 4942
8192, 16386, 10066, 6320
8192, 15884, 10069, 5815
8192, 16224, 10111, 6113
8192, 11909, 10166, 1743
8192, 15848, 10183, 5665
8192, 15725, 10221, 5504
8192, 15559, 10263, 5296
8192, 15900, 10268, 5632
8192, 14892, 10378, 4514
8192, 14645, 10421, 4224
8192, 15372, 10426, 4946
8192, 15121, 10454, 4667
8192, 13830, 10456, 3374
8192, 15114, 10474, 4640
8192, 15665, 10493, 5172
8192, 14713, 10517, 4196
8192, 15133, 10551, 4582
8192, 15183, 10576, 4607
8192, 15102, 10687, 4415
8192, 15197, 10695, 4502
8192, 15157, 10797, 4360
8192, 16095, 10809, 5286
8192, 15074, 10825, 4249
8192, 15930, 10853, 5077
8192, 15447, 11021, 4426
8192, 15529, 11032, 4497
8192, 15258, 11040, 4218
8192, 15500, 11076, 4424
8192, 15016, 11122, 3894
8192, 15096, 11188, 3908
8192, 16058, 11394, 4664
8192, 15054, 11490, 3564
8192, 16745, 11628, 5117
8192, 14212, 12512, 1700
8192, 14185, 12613, 1572
8192, 16802, 13169, 3633
8192, 15287, 13759, 1528
8192, 15121, 14352, 769
8192, 15644, 14540, 1104
8192, 16285, 15832, 453
8192, 19892, 18919, 973
8192, 19625, 19511, 114
8192, 21831, 21831, 0
8192, 21831, 21831, 0
8192, 23812, 23812, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
