Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
16, 12330, 558, 11772, 214
16, 12247, 564, 11683, 80
16, 12203, 565, 11638, 2
16, 12244, 567, 11677, 110
16, 12239, 569, 11670, 163
16, 12178, 573, 11605, 443
16, 12257, 577, 11680, 605
16, 12162, 584, 11578, 221
16, 12270, 585, 11685, 104
16, 12104, 586, 11518, 69
16, 12366, 593, 11773, 180
16, 12380, 602, 11778, 188
16, 12005, 605, 11400, 68
16, 11967, 606, 11361, 169
16, 12080, 607, 11473, 676
16, 12117, 607, 11510, 38
16, 12399, 612, 11787, 135
16, 12105, 621, 11484, 172
16, 12224, 626, 11598, 171
16, 12226, 631, 11595, 126
16, 12123, 638, 11485, 203
16, 12141, 645, 11496, 198
16, 11876, 646, 11230, 205
16, 12001, 647, 11354, 100
16, 12200, 647, 11553, 49
16, 12290, 657, 11633, 190
16, 12206, 663, 11543, 60
16, 12101, 669, 11432, 83
16, 12173, 675, 11498, 150
16, 12276, 675, 11601, 153
16, 12205, 680, 11525, 23
16, 12180, 684, 11496, 192
16, 12148, 692, 11456, 548
16, 12189, 702, 11487, 17
16, 12060, 706, 11354, 195
16, 12263, 716, 11547, 204
16, 12133, 719, 11414, 13
16, 11940, 726, 11214, 182
16, 12093, 740, 11353, 144
16, 12176, 749, 11427, 208
16, 12074, 766, 11308, 393
16, 12239, 771, 11468, 124
16, 12099, 774, 11325, 118
16, 12137, 776, 11361, 136
16, 11799, 777, 11022, 154
16, 12201, 778, 11423, 23
16, 12074, 780, 11294, 36
16, 12212, 782, 11430, 29
16, 11944, 784, 11160, 170
16, 11974, 789, 11185, 214
16, 11887, 791, 11096, 57
16, 11948, 794, 11154, 213
16, 12023, 795, 11228, 27
16, 12324, 796, 11528, 87
16, 12051, 799, 11252, 68
16, 11954, 804, 11150, 174
16, 11940, 805, 11135, 11
16, 12247, 812, 11435, 43
16, 12034, 813, 11221, 235
16, 12074, 816, 11258, 30
16, 11927, 821, 11106, 178
16, 11976, 821, 11155, 85
16, 11929, 828, 11101, 218
16, 12034, 830, 11204, 183
16, 12061, 836, 11225, 13
16, 12149, 848, 11301, 207
16, 11895, 862, 11033, 166
16, 12012, 870, 11142, 62
512, 20945, 2876, 18069, 833
512, 18574, 4783, 13791, 54
512, 10288, 5340, 4948, 934
512, 15140, 5512, 9628, 78
512, 13009, 5689, 7320, 19
512, 12232, 5735, 6497, 2198
512, 13215, 5938, 7277, 103
512, 15829, 6195, 9634, 94
512, 12986, 6233, 6753, 83
512, 9689, 6333, 3356, 539
512, 14168, 6439, 7729, 95
512, 21540, 7384, 14156, 82
512, 20473, 7637, 12836, 127
512, 21653, 7920, 13733, 103
512, 21048, 8065, 12983, 117
512, 20392, 8159, 12233, 3606
512, 20983, 8173, 12810, 88
512, 9202, 8811, 391, 8435
512, 20549, 9022, 11527, 66
512, 20171, 9209, 10962, 128
512, 21671, 9411, 12260, 94
512, 19611, 9486, 10125, 93
512, 20393, 9491, 10902, 61
512, 21837, 9521, 12316, 176
512, 21976, 9547, 12429, 142
512, 15924, 9568, 6356, 39
512, 21439, 9583, 11856, 134
512, 21430, 10319, 11111, 102
512, 19767, 10764, 9003, 128
512, 19875, 11146, 8729, 124
8192, 13042, 6499, 6543, 1033
8192, 12372, 6621, 5751, 443
8192, 12435, 6888, 5547, 293
8192, 12104, 6889, 5215, 1222
8192, 13246, 7182, 6064, 89
8192, 10899, 7546, 3353, 706
8192, 12663, 7606, 5057, 314
8192, 11019, 7626, 3393, 368
8192, 13462, 7703, 5759, 4
8192, 12269, 7899, 4370, 5004
8192, 14215, 8016, 6199, 156
8192, 15440, 8111, 7329, 474
8192, 12176, 8296, 3880, 745
8192, 15762, 8354, 7408, 479
8192, 16033, 8370, 7663, 9
8192, 15074, 8375, 6699, 360
8192, 15240, 8384, 6856, 600
8192, 14632, 8497, 6135, 254
8192, 13720, 8503, 5217, 3830
8192, 14851, 8512, 6339, 286
8192, 15815, 8522, 7293, 250
8192, 15474, 8562, 6912, 266
8192, 15233, 8569, 6664, 171
8192, 15567, 8608, 6959, 536
8192, 12807, 8638, 4169, 534
8192, 15407, 8644, 6763, 440
8192, 15411, 8684, 6727, 146
8192, 15828, 8694, 7134, 385
8192, 15429, 8699, 6730, 62
8192, 15577, 8718, 6859, 298
8192, 15392, 8727, 6665, 187
8192, 14921, 8742, 6179, 335
8192, 15188, 8744, 6444, 133
8192, 14583, 8750, 5833, 473
8192, 15609, 8762, 6847, 182
8192, 15827, 8771, 7056, 204
8192, 15176, 8772, 6404, 382
8192, 15314, 8772, 6542, 344
8192, 14326, 8773, 5553, 402
8192, 15468, 8794, 6674, 253
8192, 15770, 8795, 6975, 293
8192, 15575, 8804, 6771, 475
8192, 15024, 8816, 6208, 178
8192, 15469, 8817, 6652, 232
8192, 15677, 8838, 6839, 273
8192, 15229, 8870, 6359, 438
8192, 15610, 8876, 6734, 146
8192, 13449, 8878, 4571, 264
8192, 15818, 8889, 6929, 232
8192, 14746, 8897, 5849, 243
8192, 11379, 8914, 2465, 3876
8192, 10755, 8920, 1835, 142
8192, 14746, 8920, 5826, 154
8192, 16021, 8922, 7099, 522
8192, 15166, 8924, 6242, 312
8192, 15525, 8926, 6599, 242
8192, 15548, 8928, 6620, 239
8192, 14707, 8938, 5769, 446
8192, 15805, 8940, 6865, 93
8192, 15488, 8943, 6545, 234
8192, 15537, 8947, 6590, 241
8192, 15707, 8965, 6742, 108
8192, 15886, 8969, 6917, 83
8192, 15538, 8970, 6568, 305
8192, 15780, 8974, 6806, 113
8192, 14134, 8975, 5159, 21
8192, 14499, 8988, 5511, 574
